property,city,tenant,unit_number,unit_type,monthly_rent,lease_end,days_to_expiry,expiry_bucket,tenant_status
Avenue Grand,Baltimore,Deborah Bradford,031,Studio,1312.0,2022-11-13,-1241,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Chad Johnson,008,Studio,1347.0,2022-11-13,-1241,Expired,Active
Fieldside Grande Ph1,Pikesville,Carl Blanchard,139,2BR/1BA,1985.0,2022-11-15,-1239,Expired,Active
Fieldside Grande Ph1,Pikesville,Jessica Carr,254,2BR/2BA,2133.0,2022-11-18,-1236,Expired,Active
Townes at Heritage Hills,Glen Burnie,Charles Robinson,001,Studio,1575.0,2022-11-20,-1234,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Victoria James,097,2BR/2BA,1895.0,2022-11-20,-1234,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Mark Hess,041,1BR/1BA,1666.0,2022-11-21,-1233,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Joshua Hammond,057,2BR/1BA,1732.0,2022-11-22,-1232,Expired,Active
Townes at Heritage Hills,Glen Burnie,Hunter Brennan,136,3BR/2BA,2657.0,2022-11-27,-1227,Expired,Active
Avenue Grand,Baltimore,James Bryant,016,Studio,1461.0,2022-11-27,-1227,Expired,Active
Riverfront Flats,Frederick,Lance Murray,183,2BR/2BA,2123.0,2022-11-27,-1227,Expired,Active
Avenue Grand,Baltimore,Allison Floyd,014,Studio,1426.0,2022-11-30,-1224,Expired,Active
Cedar Ridge Commons,Ellicott City,Loretta Bradley,263,2BR/2BA,2169.0,2022-11-30,-1224,Expired,Active
Avenue Grand,Baltimore,Gabriel Murphy,029,Studio,1441.0,2022-12-01,-1223,Expired,Active
Cedar Ridge Commons,Ellicott City,Russell Davis,173,2BR/1BA,1948.0,2022-12-03,-1221,Expired,Active
Duvall Westside,Laurel,Ricky Larson,051,1BR/1BA,1527.0,2022-12-04,-1220,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kelly Andersen,008,1BR/1BA,1549.0,2022-12-04,-1220,Expired,Active
Mills Crossing,Owings Mills,Brandon Nunez,013,Studio,1541.0,2022-12-06,-1218,Expired,Active
Riverfront Flats,Frederick,Angelica Stein DDS,235,3BR/2BA,2757.0,2022-12-08,-1216,Expired,Active
Cedar Ridge Commons,Ellicott City,Darrell Stein,228,2BR/2BA,2038.0,2022-12-09,-1215,Expired,Active
Townes at Heritage Hills,Glen Burnie,Michelle Shah,094,2BR/2BA,2265.0,2022-12-10,-1214,Expired,Active
Mills Crossing,Owings Mills,Thomas Torres,059,1BR/1BA,1777.0,2022-12-11,-1213,Expired,Active
Riverfront Flats,Frederick,Robert Lin,109,1BR/1BA,1550.0,2022-12-12,-1212,Expired,Active
Duvall Westside,Laurel,Susan Hopkins,075,1BR/1BA,1752.0,2022-12-16,-1208,Expired,Active
Fieldside Grande Ph1,Pikesville,Robert Hogan,003,Studio,1437.0,2022-12-16,-1208,Expired,Active
Fieldside Grande Ph1,Pikesville,Renee Shields,133,2BR/1BA,2054.0,2022-12-16,-1208,Expired,Active
Fieldside Grande Ph1,Pikesville,Tiffany Wilson,165,2BR/2BA,2077.0,2022-12-16,-1208,Expired,Active
Cedar Ridge Commons,Ellicott City,Donald Smith,221,2BR/2BA,2228.0,2022-12-16,-1208,Expired,Active
Duvall Westside,Laurel,Kenneth Underwood,205,2BR/2BA,2220.0,2022-12-17,-1207,Expired,Active
Cedar Ridge Commons,Ellicott City,Jose Andrews,211,2BR/2BA,1997.0,2022-12-17,-1207,Expired,Active
Mills Crossing,Owings Mills,Lisa Brown,285,3BR/2BA,2834.0,2022-12-18,-1206,Expired,Active
Mills Crossing,Owings Mills,Samuel Williams,187,2BR/2BA,2339.0,2022-12-23,-1201,Expired,Active
Mills Crossing,Owings Mills,Johnny Anderson,188,2BR/2BA,2207.0,2022-12-23,-1201,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kerry Anderson,046,2BR/1BA,1924.0,2022-12-24,-1200,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jordan Chapman,162,3BR/2BA,2415.0,2022-12-25,-1199,Expired,Active
Duvall Westside,Laurel,David Wilson,175,2BR/2BA,2147.0,2022-12-26,-1198,Expired,Active
Mills Crossing,Owings Mills,Jonathan James,191,2BR/2BA,2138.0,2022-12-27,-1197,Expired,Active
Avenue Grand,Baltimore,Carolyn Lopez,012,Studio,1562.0,2022-12-27,-1197,Expired,Active
Avenue Grand,Baltimore,Keith Gibson,206,3BR/2BA,2389.0,2022-12-27,-1197,Expired,Active
Avenue Grand,Baltimore,Thomas Floyd,162,2BR/2BA,1945.0,2022-12-28,-1196,Expired,Active
Mills Crossing,Owings Mills,Steven Scott,088,2BR/1BA,1770.0,2022-12-29,-1195,Expired,Active
Riverfront Flats,Frederick,Hannah Campbell,140,2BR/1BA,1899.0,2022-12-31,-1193,Expired,Active
Mills Crossing,Owings Mills,Christopher Rogers,072,1BR/1BA,1754.0,2023-01-02,-1191,Expired,Active
Fieldside Grande Ph1,Pikesville,David Blair,065,1BR/1BA,1549.0,2023-01-03,-1190,Expired,Active
Riverfront Flats,Frederick,Sophia Blake,251,3BR/2BA,2788.0,2023-01-03,-1190,Expired,Active
Fieldside Grande Ph1,Pikesville,Patricia Jones,091,1BR/1BA,1709.0,2023-01-04,-1189,Expired,Active
Riverfront Flats,Frederick,Anthony Peterson,144,2BR/1BA,1953.0,2023-01-04,-1189,Expired,Active
Duvall Westside,Laurel,Megan Moore,063,1BR/1BA,1880.0,2023-01-05,-1188,Expired,Active
Avenue Grand,Baltimore,Melissa Kim,013,Studio,1205.0,2023-01-05,-1188,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Marie Brown,131,2BR/2BA,2064.0,2023-01-05,-1188,Expired,Active
Townes at Heritage Hills,Glen Burnie,Victoria Delgado,138,3BR/2BA,2343.0,2023-01-08,-1185,Expired,Active
Duvall Westside,Laurel,Roger Olson,066,1BR/1BA,1867.0,2023-01-09,-1184,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jonathan Hernandez,159,3BR/2BA,2728.0,2023-01-10,-1183,Expired,Active
Townes at Heritage Hills,Glen Burnie,Desiree Mccoy,166,3BR/2BA,2480.0,2023-01-15,-1178,Expired,Active
Riverfront Flats,Frederick,Brandon Myers,089,1BR/1BA,1850.0,2023-01-16,-1177,Expired,Active
Fieldside Grande Ph1,Pikesville,David Hudson,025,Studio,1531.0,2023-01-19,-1174,Expired,Active
Townes at Heritage Hills,Glen Burnie,Joseph Harris,184,3BR/2BA,2454.0,2023-01-20,-1173,Expired,Active
Duvall Westside,Laurel,Janet Kane DVM,142,2BR/1BA,1946.0,2023-01-21,-1172,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Anthony Carlson,034,1BR/1BA,1567.0,2023-01-23,-1170,Expired,Active
Duvall Westside,Laurel,Danny Roberts,177,2BR/2BA,2238.0,2023-01-25,-1168,Expired,Active
Fieldside Grande Ph1,Pikesville,Rebecca Kelley,156,2BR/2BA,1937.0,2023-01-25,-1168,Expired,Active
Duvall Westside,Laurel,Aaron Robinson,141,2BR/1BA,1875.0,2023-01-26,-1167,Expired,Active
Fieldside Grande Ph1,Pikesville,William Fuller,179,2BR/2BA,2298.0,2023-01-26,-1167,Expired,Active
Fieldside Grande Ph1,Pikesville,April Benjamin,244,2BR/2BA,2366.0,2023-01-26,-1167,Expired,Active
Townes at Heritage Hills,Glen Burnie,Michael Vega,032,2BR/1BA,2049.0,2023-01-29,-1164,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jennifer Carr,040,2BR/2BA,2084.0,2023-01-29,-1164,Expired,Active
Fieldside Grande Ph1,Pikesville,Joseph Williams,220,2BR/2BA,2190.0,2023-01-29,-1164,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Justin Randall,076,2BR/2BA,2124.0,2023-01-29,-1164,Expired,Active
Riverfront Flats,Frederick,Michelle Martinez,112,1BR/1BA,1712.0,2023-02-04,-1158,Expired,Active
Duvall Westside,Laurel,Gary Kennedy,128,2BR/1BA,1739.0,2023-02-05,-1157,Expired,Active
Mills Crossing,Owings Mills,James Gallagher,168,2BR/2BA,2257.0,2023-02-05,-1157,Expired,Active
Fieldside Grande Ph1,Pikesville,Mrs. Maria Price DDS,060,1BR/1BA,1720.0,2023-02-05,-1157,Expired,Active
Cedar Ridge Commons,Ellicott City,Mr. Vincent Hansen,226,2BR/2BA,1938.0,2023-02-05,-1157,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Elizabeth Deleon,058,2BR/1BA,1980.0,2023-02-05,-1157,Expired,Active
Townes at Heritage Hills,Glen Burnie,Charlotte Gomez,023,2BR/1BA,1708.0,2023-02-06,-1156,Expired,Active
Townes at Heritage Hills,Glen Burnie,Patricia Hughes,064,2BR/2BA,2278.0,2023-02-06,-1156,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Shawn Patton,028,1BR/1BA,1610.0,2023-02-07,-1155,Expired,Active
Riverfront Flats,Frederick,David Joseph,216,2BR/2BA,2000.0,2023-02-09,-1153,Expired,Active
Fieldside Grande Ph1,Pikesville,David Perez,188,2BR/2BA,2146.0,2023-02-10,-1152,Expired,Active
Riverfront Flats,Frederick,Tracy Hall,070,1BR/1BA,1658.0,2023-02-10,-1152,Expired,Active
Duvall Westside,Laurel,Allison Hill,001,Studio,1263.0,2023-02-11,-1151,Expired,Active
Duvall Westside,Laurel,Zachary Hicks,009,Studio,1329.0,2023-02-11,-1151,Expired,Active
Fieldside Grande Ph1,Pikesville,Debra Logan,192,2BR/2BA,2244.0,2023-02-11,-1151,Expired,Active
Riverfront Flats,Frederick,Robert Huang,137,2BR/1BA,2015.0,2023-02-11,-1151,Expired,Active
Riverfront Flats,Frederick,James Little,178,2BR/2BA,2172.0,2023-02-11,-1151,Expired,Active
Mills Crossing,Owings Mills,Anne Conley,280,3BR/2BA,2739.0,2023-02-12,-1150,Expired,Active
Duvall Westside,Laurel,Ryan Harvey,176,2BR/2BA,2159.0,2023-02-13,-1149,Expired,Active
Fieldside Grande Ph1,Pikesville,Cindy Stanley MD,221,2BR/2BA,2216.0,2023-02-13,-1149,Expired,Active
Cedar Ridge Commons,Ellicott City,Kristin Davis,095,1BR/1BA,1547.0,2023-02-13,-1149,Expired,Active
Townes at Heritage Hills,Glen Burnie,Aaron Armstrong,038,2BR/1BA,1959.0,2023-02-14,-1148,Expired,Active
Mills Crossing,Owings Mills,Adam Thompson,238,3BR/2BA,2455.0,2023-02-15,-1147,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Jonathan Evans,010,1BR/1BA,1430.0,2023-02-16,-1146,Expired,Active
Duvall Westside,Laurel,Holly Wood,007,Studio,1511.0,2023-02-17,-1145,Expired,Active
Mills Crossing,Owings Mills,Sandra Smith,104,2BR/1BA,2106.0,2023-02-17,-1145,Expired,Active
Mills Crossing,Owings Mills,Heather Levine,170,2BR/2BA,1929.0,2023-02-17,-1145,Expired,Active
Mills Crossing,Owings Mills,Crystal Cummings,265,3BR/2BA,2562.0,2023-02-17,-1145,Expired,Active
Cedar Ridge Commons,Ellicott City,Kimberly Haney,089,1BR/1BA,1558.0,2023-02-17,-1145,Expired,Active
Mills Crossing,Owings Mills,Brent Rojas,124,2BR/2BA,2249.0,2023-02-19,-1143,Expired,Active
Riverfront Flats,Frederick,Jessica White,205,2BR/2BA,2189.0,2023-02-20,-1142,Expired,Active
Duvall Westside,Laurel,Stephanie Martin,017,Studio,1448.0,2023-02-21,-1141,Expired,Active
Townes at Heritage Hills,Glen Burnie,Nathan Mcneil,073,2BR/2BA,1906.0,2023-02-23,-1139,Expired,Active
Duvall Westside,Laurel,Jose Williams,197,2BR/2BA,1911.0,2023-02-25,-1137,Expired,Active
Mills Crossing,Owings Mills,Eric Campbell,290,3BR/2BA,3000.0,2023-02-27,-1135,Expired,Active
Mills Crossing,Owings Mills,Randy Robbins,213,2BR/2BA,2226.0,2023-03-01,-1133,Expired,Active
Duvall Westside,Laurel,Andrew Wood,090,1BR/1BA,1617.0,2023-03-03,-1131,Expired,Active
Riverfront Flats,Frederick,Jennifer Gomez,119,1BR/1BA,1746.0,2023-03-05,-1129,Expired,Active
Fieldside Grande Ph1,Pikesville,Emily Lee,058,1BR/1BA,1518.0,2023-03-06,-1128,Expired,Active
Fieldside Grande Ph1,Pikesville,Jennifer Blackwell,104,1BR/1BA,1506.0,2023-03-06,-1128,Expired,Active
Duvall Westside,Laurel,Rachel Harris DVM,073,1BR/1BA,1458.0,2023-03-09,-1125,Expired,Active
Cedar Ridge Commons,Ellicott City,Nicholas Arellano,111,1BR/1BA,1734.0,2023-03-11,-1123,Expired,Active
Townes at Heritage Hills,Glen Burnie,Harold Wagner,158,3BR/2BA,2212.0,2023-03-12,-1122,Expired,Active
Riverfront Flats,Frederick,Kristin Dixon MD,193,2BR/2BA,2164.0,2023-03-13,-1121,Expired,Active
Avenue Grand,Baltimore,William Adams,203,3BR/2BA,2750.0,2023-03-14,-1120,Expired,Active
Cedar Ridge Commons,Ellicott City,James Flores,014,Studio,1527.0,2023-03-15,-1119,Expired,Active
Cedar Ridge Commons,Ellicott City,Mrs. Jaclyn Crosby MD,204,2BR/2BA,2255.0,2023-03-15,-1119,Expired,Active
Riverfront Flats,Frederick,Lori Guerrero MD,138,2BR/1BA,1998.0,2023-03-15,-1119,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Seth Daniel,121,2BR/2BA,2364.0,2023-03-16,-1118,Expired,Active
Fieldside Grande Ph1,Pikesville,David Rice,107,1BR/1BA,1515.0,2023-03-17,-1117,Expired,Active
Cedar Ridge Commons,Ellicott City,Alan Rivera,001,Studio,1294.0,2023-03-17,-1117,Expired,Active
Duvall Westside,Laurel,Elizabeth Ward,047,1BR/1BA,1881.0,2023-03-21,-1113,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kathy Shaffer,077,2BR/2BA,2032.0,2023-03-23,-1111,Expired,Active
Riverfront Flats,Frederick,Andrew Rodriguez,111,1BR/1BA,1794.0,2023-03-23,-1111,Expired,Active
Avenue Grand,Baltimore,Latoya Cooper,173,2BR/2BA,2023.0,2023-03-24,-1110,Expired,Active
Cedar Ridge Commons,Ellicott City,Donald Morris,183,2BR/1BA,1833.0,2023-03-25,-1109,Expired,Active
Avenue Grand,Baltimore,Christopher Morris,077,1BR/1BA,1701.0,2023-03-26,-1108,Expired,Active
Cedar Ridge Commons,Ellicott City,Angela Holloway,254,2BR/2BA,2003.0,2023-03-26,-1108,Expired,Active
Cedar Ridge Commons,Ellicott City,Cameron Smith,208,2BR/2BA,2286.0,2023-03-27,-1107,Expired,Active
Fieldside Grande Ph1,Pikesville,Derrick Ray,006,Studio,1404.0,2023-03-28,-1106,Expired,Active
Fieldside Grande Ph1,Pikesville,Christine Hubbard,268,3BR/2BA,2918.0,2023-03-28,-1106,Expired,Active
Avenue Grand,Baltimore,Cynthia Miller,178,2BR/2BA,2316.0,2023-03-29,-1105,Expired,Active
Mills Crossing,Owings Mills,Michael Reynolds,090,2BR/1BA,1859.0,2023-03-30,-1104,Expired,Active
Cedar Ridge Commons,Ellicott City,Lisa Stark,066,1BR/1BA,1467.0,2023-03-31,-1103,Expired,Active
Riverfront Flats,Frederick,Cynthia Nguyen,124,1BR/1BA,1699.0,2023-04-01,-1102,Expired,Active
Duvall Westside,Laurel,Maria Cole,112,1BR/1BA,1597.0,2023-04-03,-1100,Expired,Active
Fieldside Grande Ph1,Pikesville,Cody Hoover,270,3BR/2BA,2621.0,2023-04-04,-1099,Expired,Active
Avenue Grand,Baltimore,Jessica Baker,085,1BR/1BA,1761.0,2023-04-05,-1098,Expired,Active
Overlook at Bulle Rock,Havre de Grace,William Jackson,158,3BR/2BA,2310.0,2023-04-05,-1098,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Larry Green,114,2BR/2BA,1890.0,2023-04-07,-1096,Expired,Active
Duvall Westside,Laurel,Allison Spencer,111,1BR/1BA,1585.0,2023-04-08,-1095,Expired,Active
Townes at Heritage Hills,Glen Burnie,Michelle Wright,030,2BR/1BA,2004.0,2023-04-08,-1095,Expired,Active
Fieldside Grande Ph1,Pikesville,Angelica King,154,2BR/2BA,2230.0,2023-04-08,-1095,Expired,Active
Duvall Westside,Laurel,Ruth Mcneil,185,2BR/2BA,2184.0,2023-04-10,-1093,Expired,Active
Duvall Westside,Laurel,Kyle Smith,209,2BR/2BA,1894.0,2023-04-11,-1092,Expired,Active
Duvall Westside,Laurel,Renee Morales,008,Studio,1429.0,2023-04-14,-1089,Expired,Active
Fieldside Grande Ph1,Pikesville,Jeremy Faulkner,145,2BR/2BA,2379.0,2023-04-14,-1089,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jenna Jensen,080,2BR/2BA,2229.0,2023-04-15,-1088,Expired,Active
Cedar Ridge Commons,Ellicott City,Erika Davis,050,1BR/1BA,1653.0,2023-04-16,-1087,Expired,Active
Fieldside Grande Ph1,Pikesville,Dr. Sarah Smith,224,2BR/2BA,2002.0,2023-04-19,-1084,Expired,Active
Cedar Ridge Commons,Ellicott City,Kyle Green,053,1BR/1BA,1784.0,2023-04-19,-1084,Expired,Active
Riverfront Flats,Frederick,Donald Jimenez,107,1BR/1BA,1519.0,2023-04-20,-1083,Expired,Active
Mills Crossing,Owings Mills,Christina White,296,3BR/2BA,2134.0,2023-04-21,-1082,Expired,Active
Riverfront Flats,Frederick,Nicole West,016,Studio,1504.0,2023-04-22,-1081,Expired,Active
Mills Crossing,Owings Mills,Michael Osborn,050,1BR/1BA,1723.0,2023-04-24,-1079,Expired,Active
Mills Crossing,Owings Mills,Lisa Martin,141,2BR/2BA,1939.0,2023-04-25,-1078,Expired,Active
Riverfront Flats,Frederick,Kevin Smith,157,2BR/2BA,2253.0,2023-04-26,-1077,Expired,Active
Duvall Westside,Laurel,Darrell Adams,220,2BR/2BA,2009.0,2023-04-29,-1074,Expired,Active
Duvall Westside,Laurel,Melinda Compton,227,2BR/2BA,2072.0,2023-04-29,-1074,Expired,Active
Mills Crossing,Owings Mills,Melissa Garcia,130,2BR/2BA,2097.0,2023-04-30,-1073,Expired,Active
Fieldside Grande Ph1,Pikesville,Jessica Nelson,207,2BR/2BA,2113.0,2023-04-30,-1073,Expired,Active
Cedar Ridge Commons,Ellicott City,Steve Walsh,261,2BR/2BA,2072.0,2023-04-30,-1073,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Ellen Acosta,060,2BR/1BA,2152.0,2023-04-30,-1073,Expired,Active
Fieldside Grande Ph1,Pikesville,Mario Stout,062,1BR/1BA,1894.0,2023-05-01,-1072,Expired,Active
Fieldside Grande Ph1,Pikesville,Steven Scott,069,1BR/1BA,1426.0,2023-05-03,-1070,Expired,Active
Cedar Ridge Commons,Ellicott City,Emily Sullivan,215,2BR/2BA,2272.0,2023-05-04,-1069,Expired,Active
Townes at Heritage Hills,Glen Burnie,Victoria Massey,173,3BR/2BA,2755.0,2023-05-06,-1067,Expired,Active
Riverfront Flats,Frederick,Erin Walker,044,1BR/1BA,1649.0,2023-05-06,-1067,Expired,Active
Cedar Ridge Commons,Ellicott City,Sabrina Gonzales,194,2BR/2BA,2223.0,2023-05-07,-1066,Expired,Active
Duvall Westside,Laurel,Bob Cole,148,2BR/2BA,2022.0,2023-05-11,-1062,Expired,Active
Cedar Ridge Commons,Ellicott City,Cody Woods,172,2BR/1BA,1768.0,2023-05-12,-1061,Expired,Active
Mills Crossing,Owings Mills,Brenda Perez,155,2BR/2BA,2405.0,2023-05-13,-1060,Expired,Active
Fieldside Grande Ph1,Pikesville,Heather Young,181,2BR/2BA,1955.0,2023-05-13,-1060,Expired,Active
Mills Crossing,Owings Mills,Luis Hill,099,2BR/1BA,1982.0,2023-05-14,-1059,Expired,Active
Cedar Ridge Commons,Ellicott City,Savannah Estrada,205,2BR/2BA,1906.0,2023-05-15,-1058,Expired,Active
Duvall Westside,Laurel,Paul Lee,104,1BR/1BA,1791.0,2023-05-16,-1057,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Savannah Beck,134,2BR/2BA,1972.0,2023-05-16,-1057,Expired,Active
Duvall Westside,Laurel,Kyle Johnson,207,2BR/2BA,2106.0,2023-05-18,-1055,Expired,Active
Mills Crossing,Owings Mills,Sheena Burton,151,2BR/2BA,2296.0,2023-05-19,-1054,Expired,Active
Mills Crossing,Owings Mills,John Savage,189,2BR/2BA,1927.0,2023-05-19,-1054,Expired,Active
Riverfront Flats,Frederick,Travis Carter,192,2BR/2BA,1843.0,2023-05-22,-1051,Expired,Active
Duvall Westside,Laurel,Jennifer Ramirez,026,Studio,1396.0,2023-05-24,-1049,Expired,Active
Townes at Heritage Hills,Glen Burnie,Joseph Sanchez,082,2BR/2BA,2243.0,2023-05-24,-1049,Expired,Active
Townes at Heritage Hills,Glen Burnie,Ashley Walker,100,3BR/2BA,2368.0,2023-05-25,-1048,Expired,Active
Mills Crossing,Owings Mills,Anita Serrano,120,2BR/1BA,1864.0,2023-05-27,-1046,Expired,Active
Townes at Heritage Hills,Glen Burnie,Keith Bauer,036,2BR/1BA,1850.0,2023-05-27,-1046,Expired,Active
Fieldside Grande Ph1,Pikesville,Brian Miller,183,2BR/2BA,2137.0,2023-05-28,-1045,Expired,Active
Avenue Grand,Baltimore,Hannah Campbell,213,3BR/2BA,2689.0,2023-05-28,-1045,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Benjamin Wilson,063,2BR/1BA,1766.0,2023-05-28,-1045,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Johnny Pierce,075,2BR/2BA,2211.0,2023-05-30,-1043,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Lisa Roberts,106,2BR/2BA,2110.0,2023-05-30,-1043,Expired,Active
Duvall Westside,Laurel,Elizabeth Davis,218,2BR/2BA,2020.0,2023-06-04,-1038,Expired,Active
Fieldside Grande Ph1,Pikesville,Andrew Williams,261,3BR/2BA,2914.0,2023-06-06,-1036,Expired,Active
Duvall Westside,Laurel,Richard Jones,088,1BR/1BA,1508.0,2023-06-07,-1035,Expired,Active
Mills Crossing,Owings Mills,Megan Nelson,084,2BR/1BA,1767.0,2023-06-08,-1034,Expired,Active
Riverfront Flats,Frederick,Terri Davis,024,Studio,1265.0,2023-06-08,-1034,Expired,Active
Townes at Heritage Hills,Glen Burnie,David Delgado,151,3BR/2BA,2249.0,2023-06-12,-1030,Expired,Active
Fieldside Grande Ph1,Pikesville,Edward Johnson,138,2BR/1BA,1741.0,2023-06-15,-1027,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kevin Allen,110,2BR/2BA,1880.0,2023-06-15,-1027,Expired,Active
Riverfront Flats,Frederick,Samantha Smith,021,Studio,1311.0,2023-06-15,-1027,Expired,Active
Avenue Grand,Baltimore,Joy Dorsey,209,3BR/2BA,2602.0,2023-06-16,-1026,Expired,Active
Mills Crossing,Owings Mills,Peter Jackson,118,2BR/1BA,2178.0,2023-06-17,-1025,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Linda Thompson,175,3BR/2BA,2735.0,2023-06-17,-1025,Expired,Active
Duvall Westside,Laurel,Tyler Reid,041,1BR/1BA,1548.0,2023-06-18,-1024,Expired,Active
Duvall Westside,Laurel,Krista Bell MD,046,1BR/1BA,1537.0,2023-06-18,-1024,Expired,Active
Townes at Heritage Hills,Glen Burnie,Tara Taylor,020,1BR/1BA,1660.0,2023-06-19,-1023,Expired,Active
Duvall Westside,Laurel,Vanessa Cochran,025,Studio,1363.0,2023-06-21,-1021,Expired,Active
Fieldside Grande Ph1,Pikesville,Tammy Mcdaniel,180,2BR/2BA,2140.0,2023-06-23,-1019,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kristin Morgan,102,2BR/2BA,2178.0,2023-06-23,-1019,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Sara Wallace,061,2BR/1BA,1802.0,2023-06-24,-1018,Expired,Active
Mills Crossing,Owings Mills,Teresa Garner,307,3BR/2BA,2358.0,2023-06-26,-1016,Expired,Active
Cedar Ridge Commons,Ellicott City,Rebecca Boone,037,1BR/1BA,1791.0,2023-06-26,-1016,Expired,Active
Duvall Westside,Laurel,Reginald Knapp,123,2BR/1BA,1929.0,2023-06-27,-1015,Expired,Active
Mills Crossing,Owings Mills,Tyrone White,227,2BR/2BA,2140.0,2023-06-28,-1014,Expired,Active
Cedar Ridge Commons,Ellicott City,Frank Stephenson,192,2BR/2BA,2292.0,2023-06-28,-1014,Expired,Active
Fieldside Grande Ph1,Pikesville,Alexander Stein,094,1BR/1BA,1715.0,2023-06-29,-1013,Expired,Active
Duvall Westside,Laurel,Kathryn Farrell,019,Studio,1356.0,2023-06-30,-1012,Expired,Active
Avenue Grand,Baltimore,Trevor Bautista,051,1BR/1BA,1660.0,2023-07-02,-1010,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Misty Walsh,141,3BR/2BA,2782.0,2023-07-02,-1010,Expired,Active
Avenue Grand,Baltimore,Megan Fitzgerald,167,2BR/2BA,1942.0,2023-07-04,-1008,Expired,Active
Riverfront Flats,Frederick,Angel Summers,005,Studio,1399.0,2023-07-04,-1008,Expired,Active
Townes at Heritage Hills,Glen Burnie,Glenda Calderon,148,3BR/2BA,3051.0,2023-07-05,-1007,Expired,Active
Fieldside Grande Ph1,Pikesville,Angelica Smith,114,1BR/1BA,1664.0,2023-07-06,-1006,Expired,Active
Riverfront Flats,Frederick,Christina Evans,051,1BR/1BA,1656.0,2023-07-06,-1006,Expired,Active
Duvall Westside,Laurel,Michael Chambers,068,1BR/1BA,1819.0,2023-07-07,-1005,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Peter Davila,126,2BR/2BA,1826.0,2023-07-08,-1004,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Timothy Thomas,152,3BR/2BA,2396.0,2023-07-08,-1004,Expired,Active
Duvall Westside,Laurel,Meredith Barnes,003,Studio,1504.0,2023-07-10,-1002,Expired,Active
Avenue Grand,Baltimore,Crystal Abbott,112,2BR/1BA,1886.0,2023-07-11,-1001,Expired,Active
Cedar Ridge Commons,Ellicott City,Jeanne Johnson,105,1BR/1BA,1852.0,2023-07-11,-1001,Expired,Active
Fieldside Grande Ph1,Pikesville,Erin Carter,079,1BR/1BA,1470.0,2023-07-13,-999,Expired,Active
Cedar Ridge Commons,Ellicott City,Todd Hampton,196,2BR/2BA,1790.0,2023-07-13,-999,Expired,Active
Townes at Heritage Hills,Glen Burnie,Dakota Hickman,061,2BR/2BA,2058.0,2023-07-14,-998,Expired,Active
Fieldside Grande Ph1,Pikesville,Tammy Lopez,122,2BR/1BA,2212.0,2023-07-14,-998,Expired,Active
Riverfront Flats,Frederick,Jean Graham,198,2BR/2BA,2346.0,2023-07-15,-997,Expired,Active
Mills Crossing,Owings Mills,Marissa Nelson,102,2BR/1BA,1914.0,2023-07-16,-996,Expired,Active
Fieldside Grande Ph1,Pikesville,Juan Morgan,257,3BR/2BA,2516.0,2023-07-16,-996,Expired,Active
Mills Crossing,Owings Mills,Roberto Foster,240,3BR/2BA,2545.0,2023-07-17,-995,Expired,Active
Riverfront Flats,Frederick,Erin Williams,259,3BR/2BA,2946.0,2023-07-17,-995,Expired,Active
Riverfront Flats,Frederick,Kyle Bell,013,Studio,1499.0,2023-07-20,-992,Expired,Active
Riverfront Flats,Frederick,Daniel Brandt,135,2BR/1BA,2033.0,2023-07-21,-991,Expired,Active
Cedar Ridge Commons,Ellicott City,Carolyn Johnson,004,Studio,1405.0,2023-07-22,-990,Expired,Active
Mills Crossing,Owings Mills,Luke Reynolds,275,3BR/2BA,2501.0,2023-07-23,-989,Expired,Active
Fieldside Grande Ph1,Pikesville,Eduardo Hall,274,3BR/2BA,2405.0,2023-07-23,-989,Expired,Active
