tenant_id,unit_id,full_name,email,phone,lease_start,lease_end,monthly_rent,deposit,status,lease_duration_days,days_to_expiry,lease_expired,expiry_bucket,lease_term_type,market_rent,unit_type,sqft,loss_to_lease,loss_to_lease_pct,concession_flag,total_charges,paid_on_time,partial_count,delinquent_count,total_due,total_paid,collection_rate,payment_reliability,delinquency_risk_score,risk_tier
T00243,U00309,Karen Perez,ramosmichael@example.com,(240)908-2547,2024-04-21,2025-04-21,1570.0,1570.0,Active,365,-350,1,Expired,Standard (6-12mo),1672.0,1BR/1BA,659,102.0,6.1,1,11.0,10.0,1.0,0.0,17270.0,17012.0,98.51,90.91,15.5,Medium Risk
T00244,U00310,Karen Smith,myates@example.org,4858368663,2021-02-17,2022-02-17,1533.0,1533.0,Active,365,-1509,1,Expired,Standard (6-12mo),1644.0,1BR/1BA,674,111.0,6.75,1,,,,,,,,,,
T00245,U00312,Connie Miller,zacharymarsh@example.net,001-944-984-6312x241,2023-04-30,2024-04-29,1755.0,1755.0,Active,365,-707,1,Expired,Standard (6-12mo),1785.0,1BR/1BA,757,30.0,1.68,0,5.0,5.0,0.0,0.0,8775.0,8775.0,100.0,100.0,0.0,Low Risk
T00246,U00314,Marcus Lopez,hernandeztara@example.org,(414)242-7031,2022-10-12,2024-04-12,1754.0,1754.0,Active,548,-724,1,Expired,Long-Term (>12mo),1926.0,1BR/1BA,754,172.0,8.93,1,5.0,4.0,1.0,0.0,8770.0,8275.0,94.36,80.0,22.0,Medium Risk
T00247,U00315,Glenn Collins DDS,steven05@example.org,001-520-846-1872x34601,2021-08-23,2022-08-23,1605.0,1605.0,Notice to Vacate,365,-1322,1,Expired,Standard (6-12mo),1698.0,1BR/1BA,826,93.0,5.48,1,,,,,,,,,,
T00248,U00316,Jessica Rojas,gonzalezjill@example.org,537.764.5208x81474,2022-08-08,2023-08-08,1706.0,1706.0,Active,365,-972,1,Expired,Standard (6-12mo),1892.0,1BR/1BA,710,186.0,9.83,1,,,,,,,,,,
T00249,U00317,Sharon Robinson,youngryan@example.org,(949)416-3009,2021-07-03,2022-07-03,1752.0,1752.0,Active,365,-1373,1,Expired,Standard (6-12mo),1911.0,1BR/1BA,789,159.0,8.32,1,,,,,,,,,,
T00250,U00318,Brandon Moore,parksmatthew@example.net,7057281273,2023-04-15,2024-04-14,1516.0,1516.0,Active,365,-722,1,Expired,Standard (6-12mo),1709.0,1BR/1BA,665,193.0,11.29,1,5.0,5.0,0.0,0.0,7580.0,7580.0,100.0,100.0,0.0,Low Risk
T00251,U00320,Jessica Lee,ihoward@example.com,4777848739,2022-10-29,2023-10-29,1387.0,1387.0,Active,365,-890,1,Expired,Standard (6-12mo),1570.0,1BR/1BA,655,183.0,11.66,1,,,,,,,,,,
T00252,U00321,John Dillon,caseymoore@example.com,585-770-8620x959,2021-04-30,2022-04-30,1728.0,1728.0,Active,365,-1437,1,Expired,Standard (6-12mo),1865.0,1BR/1BA,682,137.0,7.35,1,,,,,,,,,,
T00253,U00322,Mary Ryan,rlee@example.com,001-482-294-5651x18102,2022-10-18,2023-10-18,1647.0,1647.0,Active,365,-901,1,Expired,Standard (6-12mo),1772.0,1BR/1BA,845,125.0,7.05,1,,,,,,,,,,
T00254,U00324,John Garcia,hbarrett@example.net,001-994-205-3910x371,2022-10-26,2023-10-26,1537.0,1537.0,Active,365,-893,1,Expired,Standard (6-12mo),1661.0,1BR/1BA,650,124.0,7.47,1,,,,,,,,,,
T00255,U00325,Patrick Zamora,laura09@example.com,501.441.3811x38633,2021-09-05,2022-09-05,1492.0,1492.0,Active,365,-1309,1,Expired,Standard (6-12mo),1650.0,1BR/1BA,788,158.0,9.58,1,,,,,,,,,,
T00256,U00326,Kristin Reese,emily61@example.org,(786)785-2897,2024-05-07,2026-05-07,1723.0,1723.0,Active,730,31,0,31-60 Days,Long-Term (>12mo),1897.0,1BR/1BA,819,174.0,9.17,1,10.0,10.0,0.0,0.0,17230.0,17230.0,100.0,100.0,0.0,Low Risk
T00257,U00328,Yesenia Kirk,bduran@example.net,293-698-3684x57760,2023-11-08,2025-11-07,1441.0,1441.0,Active,730,-150,1,Expired,Long-Term (>12mo),1556.0,1BR/1BA,732,115.0,7.39,1,15.0,15.0,0.0,0.0,21615.0,21615.0,100.0,100.0,0.0,Low Risk
T00258,U00329,Kelly Holder,adam33@example.com,2489889921,2021-08-24,2022-08-24,1639.0,1639.0,Active,365,-1321,1,Expired,Standard (6-12mo),1847.0,1BR/1BA,682,208.0,11.26,1,,,,,,,,,,
T00259,U00330,Charles Richardson,jesseshepherd@example.org,001-369-631-5727,2023-08-10,2025-08-09,1463.0,1463.0,Active,730,-240,1,Expired,Long-Term (>12mo),1575.0,1BR/1BA,840,112.0,7.11,1,15.0,15.0,0.0,0.0,21945.0,21945.0,100.0,100.0,0.0,Low Risk
T00260,U00333,Robert James,weeksmatthew@example.com,(713)590-6048x05892,2023-09-19,2024-09-18,1610.0,1610.0,Active,365,-565,1,Expired,Standard (6-12mo),1733.0,1BR/1BA,727,123.0,7.1,1,10.0,10.0,0.0,0.0,16100.0,16100.0,100.0,100.0,0.0,Low Risk
T00261,U00334,Michael Osborn,kmullins@example.net,936-246-2251,2022-04-24,2023-04-24,1723.0,1723.0,Active,365,-1078,1,Expired,Standard (6-12mo),1889.0,1BR/1BA,772,166.0,8.79,1,,,,,,,,,,
T00262,U00335,Deborah Ross,iayala@example.org,683.876.9389x8331,2024-04-15,2025-04-15,1669.0,1669.0,Active,365,-356,1,Expired,Standard (6-12mo),1835.0,1BR/1BA,775,166.0,9.05,1,11.0,10.0,1.0,0.0,18359.0,18202.0,99.14,90.91,15.5,Medium Risk
T00263,U00336,Thomas Davis,whenderson@example.org,559-704-2597x92703,2024-02-11,2025-02-10,1539.0,1539.0,Active,365,-420,1,Expired,Standard (6-12mo),1679.0,1BR/1BA,670,140.0,8.34,1,13.0,13.0,0.0,0.0,20007.0,20007.0,100.0,100.0,0.0,Low Risk
T00264,U00340,Nicholas Miller,sanchezchristine@example.org,605-914-7705x3833,2023-04-14,2024-10-13,1415.0,1415.0,Active,548,-540,1,Expired,Long-Term (>12mo),1590.0,1BR/1BA,760,175.0,11.01,1,11.0,10.0,0.0,1.0,15565.0,14150.0,90.91,90.91,35.5,High Risk
T00265,U00341,Wendy Neal,bennettrebecca@example.net,9422043940,2023-10-22,2024-10-21,1763.0,1763.0,Active,365,-532,1,Expired,Standard (6-12mo),1810.0,1BR/1BA,817,47.0,2.6,0,11.0,11.0,0.0,0.0,19393.0,19393.0,100.0,100.0,0.0,Low Risk
T00266,U00342,Matthew Alvarado,michelle04@example.net,(936)281-5798x1238,2021-10-19,2022-10-19,1636.0,1636.0,Active,365,-1265,1,Expired,Standard (6-12mo),1731.0,1BR/1BA,760,95.0,5.49,1,,,,,,,,,,
T00267,U00343,Thomas Torres,klong@example.org,(655)543-8404x608,2021-12-11,2022-12-11,1777.0,1777.0,Active,365,-1212,1,Expired,Standard (6-12mo),1881.0,1BR/1BA,736,104.0,5.53,1,,,,,,,,,,
T00268,U00344,Steven Sandoval,blairabigail@example.net,+1-436-539-2649x578,2023-05-18,2025-05-17,1484.0,1484.0,Active,730,-324,1,Expired,Long-Term (>12mo),1588.0,1BR/1BA,836,104.0,6.55,1,15.0,13.0,2.0,0.0,22260.0,21701.0,97.49,86.67,28.0,Medium Risk
T00269,U00345,Lauren Sutton,michelleparker@example.net,226.729.2518x81252,2021-01-03,2022-07-05,1644.0,1644.0,Notice to Vacate,548,-1371,1,Expired,Long-Term (>12mo),1652.0,1BR/1BA,820,8.0,0.48,0,,,,,,,,,,
T00270,U00346,Jennifer Jenkins,oreese@example.net,523-512-2099x499,2022-08-16,2023-08-16,1396.0,1396.0,Active,365,-964,1,Expired,Standard (6-12mo),1586.0,1BR/1BA,667,190.0,11.98,1,,,,,,,,,,
T00271,U00347,Alexander Miller,manderson@example.com,001-252-667-7223x306,2023-09-15,2024-09-14,1512.0,1512.0,Active,365,-569,1,Expired,Standard (6-12mo),1589.0,1BR/1BA,760,77.0,4.85,0,10.0,9.0,1.0,0.0,15120.0,14772.0,97.7,90.0,16.0,Medium Risk
T00272,U00349,Courtney Powers,katherinejones@example.com,+1-275-373-6609x656,2023-02-18,2024-02-18,1650.0,1650.0,Active,365,-778,1,Expired,Standard (6-12mo),1682.0,1BR/1BA,793,32.0,1.9,0,3.0,3.0,0.0,0.0,4950.0,4950.0,100.0,100.0,0.0,Low Risk
T00273,U00350,Ronald Williams,aprilfoster@example.net,6866803476,2022-03-12,2024-03-11,1863.0,1863.0,Active,730,-756,1,Expired,Long-Term (>12mo),1899.0,1BR/1BA,740,36.0,1.9,0,4.0,4.0,0.0,0.0,7452.0,7452.0,100.0,100.0,0.0,Low Risk
T00274,U00351,Jay Austin,vaughnrebecca@example.com,+1-271-481-2982x6657,2022-07-31,2023-07-31,1610.0,1610.0,Active,365,-980,1,Expired,Standard (6-12mo),1790.0,1BR/1BA,723,180.0,10.06,1,,,,,,,,,,
T00275,U00352,Steven Huang,udavis@example.net,+1-821-811-7518x6892,2023-12-30,2025-12-29,1557.0,1557.0,Notice to Vacate,730,-98,1,Expired,Long-Term (>12mo),1753.0,1BR/1BA,797,196.0,11.18,1,15.0,14.0,0.0,1.0,23355.0,21798.0,93.33,93.33,34.0,High Risk
T00276,U00356,Christopher Rogers,fernandothomas@example.net,5642474212,2021-07-03,2023-01-02,1754.0,1754.0,Active,548,-1190,1,Expired,Long-Term (>12mo),1820.0,1BR/1BA,807,66.0,3.63,0,,,,,,,,,,
T00277,U00357,Dawn Ellis,astephens@example.net,633.597.7671x9903,2021-10-14,2023-10-14,1922.0,1922.0,Active,730,-905,1,Expired,Long-Term (>12mo),1922.0,1BR/1BA,805,0.0,0.0,0,,,,,,,,,,
T00278,U00358,Charles Delgado,thomasantonio@example.net,+1-445-910-1622x499,2023-06-04,2024-06-03,1546.0,1546.0,Active,365,-672,1,Expired,Standard (6-12mo),1622.0,1BR/1BA,657,76.0,4.69,0,7.0,7.0,0.0,0.0,10822.0,10822.0,100.0,100.0,0.0,Low Risk
T00279,U00359,Heather Johnson,marcus61@example.com,+1-814-572-1458,2022-10-14,2023-10-14,1616.0,1616.0,Active,365,-905,1,Expired,Standard (6-12mo),1690.0,1BR/1BA,736,74.0,4.38,0,,,,,,,,,,
T00280,U00360,Lisa Rodriguez,webbhaley@example.net,969-954-8995x2997,2023-07-17,2024-07-16,1649.0,1649.0,Active,365,-629,1,Expired,Standard (6-12mo),1813.0,1BR/1BA,794,164.0,9.05,1,8.0,8.0,0.0,0.0,13192.0,13192.0,100.0,100.0,0.0,Low Risk
T00281,U00361,Sophia Hall,tiffany01@example.org,513.696.6055x830,2022-10-21,2023-10-21,1632.0,1632.0,Active,365,-898,1,Expired,Standard (6-12mo),1803.0,1BR/1BA,839,171.0,9.48,1,,,,,,,,,,
T00282,U00362,Barry Evans,katie15@example.com,(499)902-3557x7027,2024-05-12,2025-05-12,1798.0,1798.0,Active,365,-329,1,Expired,Standard (6-12mo),2039.0,2BR/1BA,1041,241.0,11.82,1,10.0,10.0,0.0,0.0,17980.0,17980.0,100.0,100.0,0.0,Low Risk
T00283,U00363,Kimberly Rogers,dreilly@example.net,295-788-0395x5124,2021-10-01,2022-10-01,1861.0,1861.0,Active,365,-1283,1,Expired,Standard (6-12mo),1953.0,2BR/1BA,966,92.0,4.71,0,,,,,,,,,,
T00284,U00365,Miss Sarah Duncan,hlopez@example.com,001-650-446-1735x743,2021-01-09,2022-01-09,2112.0,2112.0,Active,365,-1548,1,Expired,Standard (6-12mo),2198.0,2BR/1BA,871,86.0,3.91,0,,,,,,,,,,
T00285,U00366,Richard Strickland,wallaceangel@example.com,923.857.8452x18230,2023-04-27,2025-04-26,2052.0,2052.0,Active,730,-345,1,Expired,Long-Term (>12mo),2078.0,2BR/1BA,1043,26.0,1.25,0,15.0,14.0,1.0,0.0,30780.0,30444.0,98.91,93.33,14.0,Medium Risk
T00286,U00367,Kelly Smith,mcdanielbrooke@example.org,670-718-4094x35334,2023-09-29,2025-03-30,1888.0,1888.0,Notice to Vacate,548,-372,1,Expired,Long-Term (>12mo),1999.0,2BR/1BA,919,111.0,5.55,1,15.0,15.0,0.0,0.0,28320.0,28320.0,100.0,100.0,0.0,Low Risk
T00287,U00368,Megan Nelson,joshuasmith@example.net,+1-481-638-5854,2021-06-08,2023-06-08,1767.0,1767.0,Active,730,-1033,1,Expired,Long-Term (>12mo),1999.0,2BR/1BA,1005,232.0,11.61,1,,,,,,,,,,
T00288,U00369,Carolyn Collins,amber02@example.org,701.660.1662x9979,2023-07-01,2024-06-30,1873.0,1873.0,Active,365,-645,1,Expired,Standard (6-12mo),2031.0,2BR/1BA,1043,158.0,7.78,1,8.0,7.0,1.0,0.0,14984.0,14869.0,99.23,87.5,17.5,Medium Risk
T00289,U00371,Craig Chang,beltrankatelyn@example.com,001-521-571-7477,2023-02-10,2025-02-09,1880.0,1880.0,Active,730,-421,1,Expired,Long-Term (>12mo),2037.0,2BR/1BA,974,157.0,7.71,1,15.0,15.0,0.0,0.0,28200.0,28200.0,100.0,100.0,0.0,Low Risk
T00290,U00372,Steven Scott,philip55@example.com,401.371.5772x4599,2021-12-29,2022-12-29,1770.0,1770.0,Active,365,-1194,1,Expired,Standard (6-12mo),1978.0,2BR/1BA,906,208.0,10.52,1,,,,,,,,,,
T00291,U00373,Miguel Rodriguez,sparksamanda@example.com,001-363-793-8276,2023-01-29,2024-01-29,1766.0,1766.0,Active,365,-798,1,Expired,Standard (6-12mo),1892.0,2BR/1BA,851,126.0,6.66,1,2.0,2.0,0.0,0.0,3532.0,3532.0,100.0,100.0,0.0,Low Risk
T00292,U00374,Michael Reynolds,vbradley@example.net,001-332-919-7199x758,2022-03-30,2023-03-30,1859.0,1859.0,Active,365,-1103,1,Expired,Standard (6-12mo),1915.0,2BR/1BA,1045,56.0,2.92,0,,,,,,,,,,
T00293,U00375,Tyler Jones,jenningscandace@example.com,970-513-2902x27846,2023-01-03,2024-01-03,1803.0,1803.0,Active,365,-824,1,Expired,Standard (6-12mo),2024.0,2BR/1BA,851,221.0,10.92,1,2.0,2.0,0.0,0.0,3606.0,3606.0,100.0,100.0,0.0,Low Risk
T00294,U00376,Shawn Evans,samantha65@example.org,001-209-286-2405,2022-09-13,2023-09-13,1790.0,1790.0,Active,365,-936,1,Expired,Standard (6-12mo),1971.0,2BR/1BA,883,181.0,9.18,1,,,,,,,,,,
T00295,U00377,Samantha Howard,michelle36@example.net,001-465-966-6683,2023-10-09,2024-10-08,1814.0,1814.0,Active,365,-545,1,Expired,Standard (6-12mo),2051.0,2BR/1BA,978,237.0,11.56,1,11.0,9.0,2.0,0.0,19954.0,19126.0,95.85,81.82,30.9,High Risk
T00296,U00378,Justin Bridges,mary24@example.net,(320)410-2762,2023-10-07,2025-10-06,1791.0,1791.0,Active,730,-182,1,Expired,Long-Term (>12mo),1979.0,2BR/1BA,868,188.0,9.5,1,15.0,14.0,0.0,1.0,26865.0,25074.0,93.33,93.33,34.0,High Risk
T00297,U00379,Jennifer Bryant,dhanson@example.net,(687)865-3269x09738,2022-02-06,2023-08-08,1615.0,1615.0,Active,548,-972,1,Expired,Long-Term (>12mo),1808.0,2BR/1BA,961,193.0,10.67,1,,,,,,,,,,
T00298,U00380,Laura Johnson,carrolljanet@example.org,001-371-528-4781,2022-07-23,2024-07-22,1873.0,1873.0,Active,730,-623,1,Expired,Long-Term (>12mo),1993.0,2BR/1BA,997,120.0,6.02,1,8.0,8.0,0.0,0.0,14984.0,14984.0,100.0,100.0,0.0,Low Risk
T00299,U00381,Patrick Horne,suttonamber@example.net,790-658-0778x7956,2021-12-16,2023-12-16,1673.0,1673.0,Active,730,-842,1,Expired,Long-Term (>12mo),1852.0,2BR/1BA,924,179.0,9.67,1,1.0,1.0,0.0,0.0,1673.0,1673.0,100.0,100.0,0.0,Low Risk
T00300,U00382,Andrew Livingston,jessica94@example.org,+1-379-629-0490x4712,2024-03-04,2026-03-04,2048.0,2048.0,Notice to Vacate,730,-33,1,Expired,Long-Term (>12mo),2161.0,2BR/1BA,893,113.0,5.23,1,12.0,11.0,1.0,0.0,24576.0,24424.0,99.38,91.67,15.0,Medium Risk
T00301,U00383,Luis Hill,alexis19@example.org,001-227-752-4372,2021-05-14,2023-05-14,1982.0,1982.0,Active,730,-1058,1,Expired,Long-Term (>12mo),2214.0,2BR/1BA,1026,232.0,10.48,1,,,,,,,,,,
T00302,U00384,Dr. Linda Underwood,amullins@example.com,272.439.5041,2021-05-14,2022-05-14,1739.0,1739.0,Active,365,-1423,1,Expired,Standard (6-12mo),1909.0,2BR/1BA,877,170.0,8.91,1,,,,,,,,,,
T00303,U00385,John Alvarez,noahthornton@example.com,728-860-4765x801,2024-03-13,2025-03-13,1809.0,1809.0,Active,365,-389,1,Expired,Standard (6-12mo),1835.0,2BR/1BA,984,26.0,1.42,0,12.0,11.0,1.0,0.0,21708.0,21138.0,97.37,91.67,15.0,Medium Risk
T00304,U00386,Marissa Nelson,joseph14@example.net,001-767-239-3852,2022-07-16,2023-07-16,1914.0,1914.0,Active,365,-995,1,Expired,Standard (6-12mo),1950.0,2BR/1BA,906,36.0,1.85,0,,,,,,,,,,
T00305,U00388,Sandra Smith,foxgina@example.com,544.330.0910,2021-02-17,2023-02-17,2106.0,2106.0,Active,730,-1144,1,Expired,Long-Term (>12mo),2208.0,2BR/1BA,899,102.0,4.62,0,,,,,,,,,,
T00306,U00389,Barbara Gates,nicholasgallagher@example.net,001-621-824-4717,2024-02-22,2025-08-23,1964.0,1964.0,Active,548,-226,1,Expired,Long-Term (>12mo),2231.0,2BR/1BA,1036,267.0,11.97,1,13.0,13.0,0.0,0.0,25532.0,25532.0,100.0,100.0,0.0,Low Risk
T00307,U00390,Mary Carrillo,fernando14@example.org,(465)904-4271x7396,2023-05-25,2024-05-24,1814.0,1814.0,Active,365,-682,1,Expired,Standard (6-12mo),1846.0,2BR/1BA,910,32.0,1.73,0,6.0,6.0,0.0,0.0,10884.0,10884.0,100.0,100.0,0.0,Low Risk
T00308,U00391,Joshua Reynolds,gainesjennifer@example.org,2112947072,2022-10-24,2024-04-24,2032.0,2032.0,Active,548,-712,1,Expired,Long-Term (>12mo),2071.0,2BR/1BA,894,39.0,1.88,0,5.0,5.0,0.0,0.0,10160.0,10160.0,100.0,100.0,0.0,Low Risk
T00309,U00392,Deborah Graves,gandrews@example.net,001-777-766-1830x67198,2023-04-14,2024-04-13,1993.0,1993.0,Notice to Vacate,365,-723,1,Expired,Standard (6-12mo),2228.0,2BR/1BA,895,235.0,10.55,1,5.0,5.0,0.0,0.0,9965.0,9965.0,100.0,100.0,0.0,Low Risk
T00310,U00393,Jennifer Chen,diazmelissa@example.com,674-832-8063,2023-11-28,2025-05-29,2010.0,2010.0,Notice to Vacate,548,-312,1,Expired,Long-Term (>12mo),2140.0,2BR/1BA,968,130.0,6.07,1,15.0,14.0,0.0,1.0,30150.0,28140.0,93.33,93.33,34.0,High Risk
T00311,U00395,Lydia Howard,mccluresamuel@example.org,(603)909-3761,2023-11-26,2024-11-25,2158.0,2158.0,Active,365,-497,1,Expired,Standard (6-12mo),2189.0,2BR/1BA,932,31.0,1.42,0,12.0,12.0,0.0,0.0,25896.0,25896.0,100.0,100.0,0.0,Low Risk
T00312,U00396,Sandra Cole,johnsonbrian@example.net,5613387829,2022-04-05,2023-04-05,1825.0,1825.0,Notice to Vacate,365,-1097,1,Expired,Standard (6-12mo),1998.0,2BR/1BA,888,173.0,8.66,1,,,,,,,,,,
T00313,U00398,Charles Valdez,nmeadows@example.org,420.320.4179,2023-05-11,2025-05-10,1829.0,1829.0,Active,730,-331,1,Expired,Long-Term (>12mo),1958.0,2BR/1BA,864,129.0,6.59,1,15.0,12.0,1.0,2.0,27435.0,23574.0,85.93,80.0,82.0,Critical
T00314,U00399,Ashley Crawford,bryanharris@example.com,001-365-319-8253x0925,2021-01-11,2022-07-13,1809.0,1809.0,Active,548,-1363,1,Expired,Long-Term (>12mo),2003.0,2BR/1BA,968,194.0,9.69,1,,,,,,,,,,
T00315,U00402,Peter Jackson,angela73@example.net,2212962071,2021-06-17,2023-06-17,2178.0,2178.0,Active,730,-1024,1,Expired,Long-Term (>12mo),2229.0,2BR/1BA,991,51.0,2.29,0,,,,,,,,,,
T00316,U00403,Brandon Pearson,robert72@example.org,(448)976-3290,2022-04-08,2023-10-08,2198.0,2198.0,Active,548,-911,1,Expired,Long-Term (>12mo),2209.0,2BR/1BA,965,11.0,0.5,0,,,,,,,,,,
T00317,U00404,Anita Serrano,michael08@example.org,918.519.5883,2022-05-27,2023-05-27,1864.0,1864.0,Active,365,-1045,1,Expired,Standard (6-12mo),2072.0,2BR/1BA,932,208.0,10.04,1,,,,,,,,,,
T00318,U00405,Cory Hogan,kjimenez@example.net,9052436459,2022-09-29,2023-09-29,1913.0,1913.0,Active,365,-920,1,Expired,Standard (6-12mo),2003.0,2BR/1BA,865,90.0,4.49,0,,,,,,,,,,
T00319,U00406,Anthony Medina,kristenwashington@example.org,537-399-5635,2021-07-18,2022-07-18,1961.0,1961.0,Active,365,-1358,1,Expired,Standard (6-12mo),2091.0,2BR/1BA,979,130.0,6.22,1,,,,,,,,,,
T00320,U00408,Brent Rojas,nicholaswalker@example.com,001-870-762-3972,2021-02-19,2023-02-19,2249.0,2249.0,Active,730,-1142,1,Expired,Long-Term (>12mo),2305.0,2BR/2BA,1083,56.0,2.43,0,,,,,,,,,,
T00321,U00410,Nathan Chen,james20@example.net,001-704-521-7762,2022-11-16,2023-11-16,2179.0,2179.0,Active,365,-872,1,Expired,Standard (6-12mo),2395.0,2BR/2BA,963,216.0,9.02,1,,,,,,,,,,
T00322,U00411,Lindsey Clarke,belindatran@example.org,268-873-9774,2023-08-28,2024-08-27,2154.0,2154.0,Active,365,-587,1,Expired,Standard (6-12mo),2165.0,2BR/2BA,966,11.0,0.51,0,9.0,9.0,0.0,0.0,19386.0,19386.0,100.0,100.0,0.0,Low Risk
T00323,U00413,Danielle Murphy,patriciavargas@example.org,001-806-900-7806,2021-04-22,2022-04-22,2042.0,2042.0,Active,365,-1445,1,Expired,Standard (6-12mo),2167.0,2BR/2BA,988,125.0,5.77,1,,,,,,,,,,
T00324,U00414,Melissa Garcia,jallen@example.org,001-963-225-4310x742,2022-04-30,2023-04-30,2097.0,2097.0,Active,365,-1072,1,Expired,Standard (6-12mo),2155.0,2BR/2BA,1039,58.0,2.69,0,,,,,,,,,,
T00325,U00415,Julie Taylor,xlopez@example.net,501.365.8046x498,2023-06-18,2024-06-17,2195.0,2195.0,Active,365,-658,1,Expired,Standard (6-12mo),2298.0,2BR/2BA,983,103.0,4.48,0,7.0,6.0,1.0,0.0,15365.0,14597.0,95.0,85.71,18.6,Medium Risk
T00326,U00416,Gabriela Randolph,pamela16@example.com,590.355.2818x325,2024-03-31,2025-03-31,1948.0,1948.0,Active,365,-371,1,Expired,Standard (6-12mo),2188.0,2BR/2BA,1093,240.0,10.97,1,12.0,12.0,0.0,0.0,23376.0,23376.0,100.0,100.0,0.0,Low Risk
T00327,U00419,Nancy Goodwin,karenhodges@example.com,(348)964-0155x778,2021-05-05,2022-05-05,1859.0,1859.0,Active,365,-1432,1,Expired,Standard (6-12mo),2009.0,2BR/2BA,1042,150.0,7.47,1,,,,,,,,,,
T00328,U00420,Meghan Patel,shannon51@example.org,911.462.4112x412,2021-05-14,2022-05-14,1927.0,1927.0,Active,365,-1423,1,Expired,Standard (6-12mo),2171.0,2BR/2BA,1004,244.0,11.24,1,,,,,,,,,,
T00329,U00421,Kelly Burton,robert82@example.com,(767)704-3103x856,2023-06-25,2024-06-24,2290.0,2290.0,Active,365,-651,1,Expired,Standard (6-12mo),2500.0,2BR/2BA,1007,210.0,8.4,1,7.0,6.0,1.0,0.0,16030.0,15120.0,94.32,85.71,18.6,Medium Risk
T00330,U00424,Mr. Joseph Kelley,itorres@example.com,(643)975-4025,2023-06-04,2024-06-03,2080.0,2080.0,Active,365,-672,1,Expired,Standard (6-12mo),2331.0,2BR/2BA,959,251.0,10.77,1,7.0,7.0,0.0,0.0,14560.0,14560.0,100.0,100.0,0.0,Low Risk
T00331,U00425,Lisa Martin,ian22@example.org,410.559.2745,2021-04-25,2023-04-25,1939.0,1939.0,Active,730,-1077,1,Expired,Long-Term (>12mo),2188.0,2BR/2BA,1102,249.0,11.38,1,,,,,,,,,,
T00332,U00426,Amanda Stewart,earl78@example.org,+1-441-206-7275,2023-02-21,2024-08-22,2127.0,2127.0,Notice to Vacate,548,-592,1,Expired,Long-Term (>12mo),2386.0,2BR/2BA,1127,259.0,10.85,1,9.0,8.0,1.0,0.0,19143.0,18513.0,96.71,88.89,16.7,Medium Risk
T00333,U00427,Kimberly Romero,thomas49@example.net,(397)651-7028,2023-04-22,2024-04-21,2169.0,2169.0,Active,365,-715,1,Expired,Standard (6-12mo),2205.0,2BR/2BA,961,36.0,1.63,0,5.0,5.0,0.0,0.0,10845.0,10845.0,100.0,100.0,0.0,Low Risk
T00334,U00428,Luke Robinson,christopher09@example.net,998.334.3018,2021-01-22,2022-07-24,2135.0,2135.0,Notice to Vacate,548,-1352,1,Expired,Long-Term (>12mo),2305.0,2BR/2BA,1063,170.0,7.38,1,,,,,,,,,,
T00335,U00429,Jennifer Henry,kerrmichael@example.org,001-365-565-0455x478,2023-05-27,2025-05-26,2163.0,2163.0,Notice to Vacate,730,-315,1,Expired,Long-Term (>12mo),2267.0,2BR/2BA,1009,104.0,4.59,0,15.0,14.0,0.0,1.0,32445.0,30282.0,93.33,93.33,34.0,High Risk
T00336,U00430,Jill Riddle,zroberts@example.net,(862)399-1234x78519,2022-11-27,2023-11-27,2041.0,2041.0,Notice to Vacate,365,-861,1,Expired,Standard (6-12mo),2184.0,2BR/2BA,999,143.0,6.55,1,,,,,,,,,,
T00337,U00432,Mark Nelson,angelapage@example.org,626.948.7049,2022-11-04,2024-11-03,1995.0,1995.0,Active,730,-519,1,Expired,Long-Term (>12mo),2209.0,2BR/2BA,1085,214.0,9.69,1,12.0,10.0,2.0,0.0,23940.0,22737.0,94.97,83.33,30.0,Medium Risk
T00338,U00433,Julie Johnson,moorekevin@example.net,+1-771-946-2730x1471,2021-07-30,2022-07-30,1968.0,1968.0,Active,365,-1346,1,Expired,Standard (6-12mo),2069.0,2BR/2BA,1104,101.0,4.88,0,,,,,,,,,,
T00339,U00435,Sheena Burton,hmccann@example.com,690.742.9025x72520,2021-05-19,2023-05-19,2296.0,2296.0,Active,730,-1053,1,Expired,Long-Term (>12mo),2356.0,2BR/2BA,976,60.0,2.55,0,,,,,,,,,,
T00340,U00436,Thomas Kelly,kelly18@example.org,001-721-492-8554x45189,2022-02-01,2024-02-01,1828.0,1828.0,Active,730,-795,1,Expired,Long-Term (>12mo),2042.0,2BR/2BA,1022,214.0,10.48,1,3.0,2.0,0.0,1.0,5484.0,3656.0,66.67,66.67,50.0,High Risk
T00341,U00437,Joseph Watson,kjenkins@example.org,328.833.8988,2023-11-09,2024-11-08,2263.0,2263.0,Active,365,-514,1,Expired,Standard (6-12mo),2453.0,2BR/2BA,1065,190.0,7.75,1,12.0,10.0,2.0,0.0,27156.0,25726.0,94.73,83.33,30.0,Medium Risk
T00342,U00438,Billy Fuentes,mendozalarry@example.com,(579)485-2401,2023-09-13,2025-09-12,2308.0,2308.0,Notice to Vacate,730,-206,1,Expired,Long-Term (>12mo),2473.0,2BR/2BA,973,165.0,6.67,1,15.0,12.0,3.0,0.0,34620.0,32181.0,92.95,80.0,42.0,High Risk
